Dataset Type,Dataset Size,Algorithm,Execution Time (ms),Memory Usage (KB)
Reverse,500,Heap Sort,1.5195420128293335,0.25390625
Reverse,500,Merge Sort,1.0792500106617808,7.8125
Reverse,500,Quick Sort,3.3739160280674696,1.3984375
Reverse,1000,Heap Sort,4.8893329803831875,0.31640625
Reverse,1000,Merge Sort,4.971624992322177,15.65625
Reverse,1000,Quick Sort,12.03541603172198,1.7890625
Reverse,2000,Heap Sort,14.009625010658056,0.37890625
Reverse,2000,Merge Sort,15.99112496478483,31.3125
Reverse,2000,Quick Sort,24.614542024210095,2.0234375
Reverse,5000,Heap Sort,47.921916004270315,0.50390625
Reverse,5000,Merge Sort,67.74025002960116,78.28125
Reverse,5000,Quick Sort,73.33016698248684,2.1484375
